#ANY,cap,Eco.,Descripció,Previsions inicials,Total Modificacions,Previsions totals,Drets reconeguts totals,Drets anul·lats,Drets reconeguts nets,Drets recaptats,Devolucions d'ingrés pagats,Recaptació líquida,Drets pendents de cobrament,pend. Cobrament afectat
2016.0,1,11200.0,IBI Rustica,20000.0,,20000.0,21706.42,315.99,21390.43,19774.36,,19774.36,1616.07,
2016.0,1,11301.0,IBI Urbana,12085000.0,,12085000.0,12306520.79,279025.71,12027495.08,11102049.31,21868.93,11080180.38,947314.7,
2016.0,1,11400.0,IBI Urbana-Béns Caract Esp,1480000.0,,1480000.0,1461971.21,932.61,1461038.6,1360386.17,536.17,1359850.0,101188.6,
2016.0,1,11501.0,I Vehicles,1400000.0,,1400000.0,1422688.91,28791.3,1393897.61,1228614.61,3501.29,1225113.32,168784.29,
2016.0,1,11600.0,I Plusvalues,1275000.0,,1275000.0,2770434.46,12168.02,2758266.44,2209751.86,8130.02,2201621.84,556644.6,
2016.0,1,13000.0,IAE,1125000.0,,1125000.0,1106416.98,16454.99,1089961.99,1029370.72,3945.22,1025425.5,64536.49,
2016.0,2,29000.0,ICIO,170000.0,,170000.0,174470.36,9122.1,165348.26,156790.61,9122.1,147668.51,17679.75,
2016.0,2,29100.0,VEDATS DE CAÇA,,,,2617.71,,2617.71,2326.77,,2326.77,290.94,
2016.0,3,30008.0,T Abasteixament Aigua,1350000.0,,1350000.0,,,,,,,,
2016.0,3,30101.0,T Sanejament,515000.0,,515000.0,,,,,,,,
2016.0,3,31107.0,T Residencia Geriàtrica,840000.0,,840000.0,844296.58,,844296.58,827035.27,,827035.27,17261.31,
2016.0,3,31111.0,T Assistència domiciliaria,88000.0,,88000.0,85700.47,295.5,85404.97,84802.84,295.5,84507.34,897.63,
2016.0,3,31206.0,T Serveis Culturals i Oci,55000.0,,55000.0,82704.0,585.9,82118.1,54694.0,491.4,54202.6,27915.5,
2016.0,3,31309.0,T Instalacions esportives,360000.0,,360000.0,348024.17,265.25,347758.92,335473.39,152.0,335321.39,12437.53,
2016.0,3,32100.0,T Llicències,135000.0,,135000.0,166976.0,1106.0,165870.0,158326.58,1106.0,157220.58,8649.42,
2016.0,3,32106.0,TAXA PER CASAMENTS,4600.0,,4600.0,5200.0,,5200.0,4950.0,,4950.0,250.0,
