#,,Eco.,Descripció,Previsions inicials,Total Modificacions,Previsions totals,Compromisos concertats,Drets reconeguts totals,Drets anul·lats,Drets Cancel·lats,Drets reconeguts nets,Drets recaptats,Devolucions d'ingrés pagats,Recaptació líquida,Drets pendents de cobrament,1283462.98
,,11200.0,IBI Rustica,22000.0,,22000.0,,26792.44,261.08,,26531.36,23631.96,,23631.96,2899.4,120531.32
,,11301.0,IBI Urbana,11403972.0,,11403972.0,,13540268.28,568065.87,,12972202.41,11834479.26,310344.19,11524135.07,1448067.34,279120.22
,,11400.0,IBI Urbana-Béns Caract Esp,1300000.0,,1300000.0,,1401155.06,511.69,,1400643.37,1286479.8,376.17,1286103.63,114539.74,934988.94
,,11501.0,I Vehicles,1281895.0,,1281895.0,,1568661.63,33961.49,,1534700.14,1308014.79,3928.91,1304085.88,230614.26,180818.35
,,11600.0,I Plusvalues,800000.0,,800000.0,,1806675.44,32536.18,,1774139.26,1390290.23,8286.3,1382003.93,392135.33,5542.3
,,13000.0,IAE,850000.0,,850000.0,,1503422.48,50857.24,,1452565.24,1299049.95,26455.76,1272594.19,179971.05,635.49
,,29000.0,ICIO,335000.0,,335000.0,,178432.0,9369.25,,169062.75,166675.88,8540.9,158134.98,10927.77,
,,29100.0,VEDATS DE CAÇA,,,,,2512.58,,,2512.58,2221.74,,2221.74,290.84,
,,30008.0,T Abasteixament Aigua,1395000.0,,1395000.0,,,,,,,,,,18914.22
,,30101.0,T Sanejament,540000.0,,540000.0,,,,,,,,,,406.4
,,31107.0,T Residencia Geriàtrica,650000.0,,650000.0,,788956.71,1483.66,,787473.05,760025.06,,760025.06,27447.99,2746.9
,,31111.0,T Assistència domiciliaria,67000.0,,67000.0,,88358.9,291.12,,88067.78,87915.02,111.44,87803.58,264.2,4538.49
,,31206.0,T Serveis Culturals i d'Oci,62000.0,,62000.0,,80801.65,153.8,,80647.85,79452.75,28.8,79423.95,1223.9,47673.64
,,31309.0,T Instalacions esportives,400000.0,,400000.0,,392460.44,482.5,,391977.94,357548.42,482.5,357065.92,34912.02,10071.3
,,31901.0,T Mercats,15000.0,,15000.0,,17679.9,,,17679.9,14140.89,,14140.89,3539.01,
,,32100.0,T Llicències,122000.0,,122000.0,,133494.72,424.0,,133070.72,122479.96,290.0,122189.96,10880.76,4828.0
,,32106.0,TAXA PER CASAMENTS,,,,,4350.0,,,4350.0,4075.0,,4075.0,275.0,
,,32505.0,T Expedició documents,21000.0,,21000.0,,25845.22,,,25845.22,25845.22,,25845.22,,
,,32601.0,T Grua,45000.0,,45000.0,,28585.5,,,28585.5,27934.25,,27934.25,651.25,528.0
,,32900.0,T Serveis Especials,18000.0,,18000.0,,18433.91,,,18433.91,17715.91,,17715.91,718.0,769.0
,,32904.0,T Cementiris,120000.0,,120000.0,,132564.34,23.29,,132541.05,124273.67,,124273.67,8267.38,7500.72
,,32905.0,T Cementirs Retrib C,226025.0,,226025.0,,,,,,,,,,
,,33013.0,T Sistema Area,480000.0,95592.7,575592.7,,575592.7,,,575592.7,575592.7,,575592.7,,
,,33101.0,T OVP Guals,116000.0,,116000.0,,143441.6,2372.98,,141068.62,129756.77,162.32,129594.45,11474.17,8219.16
,,33114.0,T OVP reserva aparcaments,11000.0,,11000.0,,7844.17,,,7844.17,6944.95,,6944.95,899.22,1381.23
,,33205.0,T Empres. Subministraments,630000.0,,630000.0,,232910.6,,,232910.6,232896.93,,232896.93,13.67,945.65
,,33206.0,Compensació de Telefónica SA,90000.0,,90000.0,,115335.57,,,115335.57,115335.57,,115335.57,,
,,33502.0,T OVP taules i cadires,90000.0,,90000.0,,102521.84,5321.14,,97200.7,66328.04,10.0,66318.04,30882.66,33535.38
,,33903.0,T OVP Feriants,12000.0,,12000.0,,4753.57,,,4753.57,4504.09,,4504.09,249.48,506.88
,,33904.0,T OVP Ambulants,90000.0,,90000.0,,102299.98,,,102299.98,81455.26,,81455.26,20844.72,23782.56
,,33906.0,T OVP Obres i bastides,8000.0,,8000.0,,6654.1,,,6654.1,4153.6,,4153.6,2500.5,3870.0
,,34207.0,PP. Escoles Infantils,620000.0,2157.4,622157.4,,622157.4,,,622157.4,622157.4,,622157.4,,
,,38900.0,REINTEGROS DE PRESUPUESTOS CERRADOS,,,,,30862.52,,,30862.52,30862.52,,30862.52,,
,,39100.0,Sancions Urbanistiques,20000.0,,20000.0,,238427.59,,,238427.59,89054.57,,89054.57,149373.02,3633.9
,,39110.0,Sancions Tributaries,30000.0,,30000.0,,22880.95,,,22880.95,22382.87,,22382.87,498.08,2000.0
,,39120.0,Multes Trànsit,325000.0,,325000.0,,493577.88,2038.8,,491539.08,493577.88,2038.8,491539.08,,
,,39190.0,Altres sancions,125000.0,,125000.0,,15355.91,,,15355.91,5545.8,,5545.8,9810.11,10306.99
,,39211.0,Recàrrecs Apremi,200000.0,,200000.0,,287917.37,608.84,,287308.53,287917.37,608.84,287308.53,,
,,39300.0,Inter. demora,90000.0,,90000.0,,129914.5,33106.39,,96808.11,129086.82,33106.39,95980.43,827.68,10.28
,,39900.0,Recursos Eventuals,30000.0,,30000.0,,45303.12,,,45303.12,45194.82,,45194.82,108.3,
,,39904.0,COSTES DE PROCEDIMENT DE RECAPTACIÓ,,,,,30693.95,65.12,,30628.83,30693.95,65.12,30628.83,,
,,42000.0,Participació en Tributs Estat,4992000.0,,4992000.0,,6154964.28,,,6154964.28,6154964.28,,6154964.28,,
,,42004.0,MINISTº EMPLEO Y S.SOC.- DG MIGRACIONES,,42539.72,42539.72,,42539.72,,,42539.72,42539.72,,42539.72,,27179.2
,,42300.0,AUTORITAT PORTUÀRIA.- NETEJA PORT,56000.0,,56000.0,,55934.8,,,55934.8,55934.8,,55934.8,,357502.38
,,45001.0,Aport Fons Coop. Local 2012,220000.0,,220000.0,,289804.87,,,289804.87,289804.87,,289804.87,,268903.95
,,45003.0,CAIB - Conveni estades,275000.0,,275000.0,,299600.88,,,299600.88,,,,299600.88,60690.89
,,45004.0,CAIB - PROGRAMA MEDIACIÓ CULTURAL,,,,,84826.0,,,84826.0,,,,84826.0,
,,45005.0,CAIB - INGRÉS PER CONVENIS D'EXERCICIS ANTERIORS,,,,,82282.08,,,82282.08,82282.08,,82282.08,,526896.2
,,45057.0,CAIB - AODL 16/C2005 CRISTINA COSTA,,,,,27045.54,,,27045.54,27045.54,,27045.54,,3814.69
,,45059.0,CAIB - SOIB - EXP 07/00040-210 CASA SES MONGES,,,,,76189.84,,,76189.84,76189.84,,76189.84,,170664.64
,,45081.0,CAIB - POLICIA TURISTICA,,,,,28000.0,,,28000.0,28000.0,,28000.0,,87068.27
,,46100.0,CIM - places concertades,575000.0,,575000.0,,571258.12,,,571258.12,,,,571258.12,8688.87
,,46102.0,CIMe.- CONVENI LLACER,,,,,1012.6,,,1012.6,1012.6,,1012.6,,
,,46103.0,CIM - Pla concertat PS,150000.0,,150000.0,,200414.54,,,200414.54,171799.22,,171799.22,28615.32,31500.0
,,46104.0,CIMe.- Sou Bombers,65000.0,,65000.0,,67014.03,,,67014.03,,,,67014.03,
,,46105.0,CIMe- CONSUM GAS,9000.0,,9000.0,,15710.75,,,15710.75,3865.38,,3865.38,11845.37,23375.0
,,46106.0,CIMe.- CONVENI AJUTS INDIVIDUALS TEMPORALS I D'EMERGÈNCIA,,72675.6,72675.6,,115957.31,,,115957.31,115957.31,,115957.31,,14625.0
,,46108.0,CIMe- CONVENI SISTEMA GEOREFERENCIAT,,,,,10500.0,,,10500.0,10500.0,,10500.0,,
,,46111.0,"CIMe - MENORCA, MÚSICA I TEATRE",,,,,400.0,,,400.0,400.0,,400.0,,
,,46118.0,CIME ACTIVITAT FISICA GENT GRAN,,,,,4472.9,,,4472.9,4472.9,,4472.9,,4005.42
,,46129.0,CIM - AGENDA LOCAL 21,9000.0,,9000.0,,,,,,,,,,
,,46203.0,CONVENI AJTs- PER CESSIÓ POLICIES LOCALS,,,,,466.0,,,466.0,466.0,,466.0,,
,,47001.0,SOREA - Costos personal,76000.0,,76000.0,,92055.76,,,92055.76,,,,92055.76,68792.09
,,47003.0,SOREA - Canon Auto.,10441.0,,10441.0,,,,,,,,,,
,,47004.0,Funeraria Gomila - costos personal,5509.0,,5509.0,,,,,,,,,,
,,47005.0,DONACIONS,12000.0,,12000.0,,67630.0,,,67630.0,67630.0,,67630.0,,
,,47014.0,A. Palliser - Aportació,6000.0,,6000.0,,3000.0,,,3000.0,3000.0,,3000.0,,
,,47032.0,FUNDACIÓ PALAU OLIVER.- INSTAL.LACIÓ ELECTRICA,,,,,15472.24,,,15472.24,,,,15472.24,
,,47101.0,Anuncis contractacio,2000.0,,2000.0,,1297.76,,,1297.76,1297.76,,1297.76,,
,,48900.0,Ingressos UIMIR,35000.0,,35000.0,,,,,,,,,,
,,52000.0,Interessos Dipòsits,4000.0,,4000.0,,18838.18,,,18838.18,18838.18,,18838.18,,
,,54100.0,Lloguer  vivendes mpals.,2900.0,,2900.0,,6309.0,,,6309.0,5309.08,,5309.08,999.92,
,,55000.0,Conces. Administ. ús privatiu,90000.0,,90000.0,,142749.87,143.96,,142605.91,75575.56,143.96,75431.6,67174.31,104.49
,,55001.0,Conc. Adm. Cementiri,20500.0,,20500.0,,30723.29,,,30723.29,29754.07,,29754.07,969.22,85092.34
,,55002.0,SOREA - Canon concessió,25332.0,,25332.0,,,,,,,,,,312.72
,,55003.0,Conce. Sistema Àrea,60000.0,,60000.0,,66824.4,,,66824.4,66824.4,,66824.4,,
,,60003.0,ALIENACIO DE SOLARS,170000.0,,170000.0,,,,,,,,,,
,,75000.0,CAIB Casa de les Aigües,6605.0,,6605.0,6604.98,6604.98,,,6604.98,6604.98,,6604.98,,
,,75014.0,CAIB - OBRA CP SA GRADUADA,,37471.31,37471.31,,,,,,,,,,
,,75015.0,CAIB - CONVENI OBRES REFORMA IES PASQUAL CALBÓ 1ª FASE,,1983556.75,1983556.75,,2192286.76,,,2192286.76,1985873.66,,1985873.66,206413.1,
,,75060.0,CAIB - PROGRMA LEADER CAP 2 - 2011,45000.0,,45000.0,,,,,,,,,,
,,75067.0,CAIB - PROGRAMA LEADER CAP 6 - 2012,40000.0,,40000.0,,,,,,,,,,
,,75068.0,CAIB - PROGRAMA IDAE CAP 6 - BIOMASSA,50000.0,,50000.0,,,,,,,,,,
,,76102.0,CIME- iNVERSIÓ EN ÀREES TURÍSTIQUES,,341157.82,341157.82,,,,,,,,,,
,,76109.0,CIME - PLA INSULAR DE COOPERACIÓ,45000.0,,45000.0,,59264.71,,,59264.71,14872.45,,14872.45,44392.26,
,,76113.0,PLA INSULAR DE COOPERACIÓ 2013,,215281.24,215281.24,215281.24,,,,,,,,,30198.8
,,76125.0,CIMe - PLA INSTAL.LACIONS CULTURALS 2010,,,,,1857.87,,,1857.87,1857.87,,1857.87,,
,,76132.0,CIME - Centres escolars 0-3,52570.0,,52570.0,,,,,,,,,,202939.57
,,76134.0,CIMe - APORTACIONS CA N'OLIVER,,,,,50000.0,,,50000.0,50000.0,,50000.0,,
,,76139.0,CIMe- SUBV. EQUIPAMENT INSTAL. JUVENILS MUNICIPALS,,,,,4580.68,,,4580.68,4580.68,,4580.68,,105720.0
,,77003.0,FUNERARIA GOMILA - AMORTIT. TÈCNIQUES,8767.0,,8767.0,,8634.52,,,8634.52,8634.52,,8634.52,,
,,83000.0,Bestretes Personal,60000.0,171529.79,231529.79,,207179.79,,,207179.79,13032.32,,13032.32,194147.47,
,,87000.0,Romanent de tresoreria per a despeses generals.,,,,,,,,,,,,,418458.49
,,87010.0,RT per a despeses amb finançament afectat.,,330973.23,330973.23,,,,,,,,,,12365.49
,,91000.0,CIMe - PRESTEC FOMIT,,,,,,,,,,,,,
,,91102.0,PRESTEC INVERSIONS - CIME,,,,,,,,,,,,,
,,91301.0,PRESTEC INVERSIONS,,,,,,,,,,,,,
,,91306.0,PRÉSTEC ICO - RDL 4/2012 PER PAGAMENT A PROVEIDORS,,,,,,,,,,,,,
