#Org ,PROG,  Àrea,Econ ,   CAP,Descripció ,PREVISIÓN INICIAL 2018,PREVISIÓN INICIAL 2019
SG1,9120.0,9.0,1000001.0,1.0,RETRIBUCIONS.- CÀRRECS ELECTES,332605.0,332605.0
SG5,1300.0,1.0,1200001.0,1.0,BASIQUES FUNC.- POLICIA .......,914935.0,934717.0
CM2,1511.0,1.0,1200001.0,1.0,BASIQUES FUNC.- URBANISME .....,59010.0,81150.0
CM1,1532.0,1.0,1200001.0,1.0,BASIQUES FUNC.- VIES PUBLIQUES..,11201.0,11905.0
CM1,1711.0,1.0,1200001.0,1.0,BASIQUES FUNC.- SERVEIS COMUNS MICROCIUTAT,12845.0,13411.0
CM6,1721.0,1.0,1200001.0,1.0,RETRIBUCIONS BASIQUES.- MEDI AMBIENT,15196.0,15873.0
SP1,2310.0,2.0,1200001.0,1.0,BASIQUES FUNC.- ASSISTÈNCIA PRIMÀRIA,16409.0,16489.0
SG8,2410.0,2.0,1200001.0,1.0,RETRIBUCIONS BASIQUES.- FORMACIÓ,14332.0,14992.0
SP3,3322.0,3.0,1200001.0,1.0,BASIQUES FUNC.- ARXIU I PATR..,24721.0,16219.0
SP3,3370.0,3.0,1200001.0,1.0,BASIQUES FUNC.- JOVENTUT,0.0,44365.0
SG8,4330.0,4.0,1200001.0,1.0,BASIQUES FUNC.-ACTIVITATS,16913.0,17751.0
SG1,9120.0,9.0,1200001.0,1.0,BASIQUES FUNC.- ORG. GOVERN..,17064.0,12454.0
SG1,9202.0,9.0,1200001.0,1.0,BASIQUES FUNC.-SERVEIS JURÍDICS.....,64129.0,48949.0
SG1,9203.0,9.0,1200001.0,1.0,BASIQUES FUNC.- CONTRACTACIÓ...,17882.0,18745.0
SG4,9311.0,9.0,1200001.0,1.0,BASIQUES FUNC.- INTERVENCIO...,21382.0,19405.0
SG4,9340.0,9.0,1200001.0,1.0,BASIQUES FUNC.- GESTIÓ TRIBUTÀRIA I RECAPTACIÓ,65930.0,63777.0
SG5,1300.0,1.0,1210001.0,1.0,COMPLEM. FUNC.- POLICIA ......,785196.0,904497.0
CM2,1511.0,1.0,1210001.0,1.0,COMPLEM. FUNC.- URBANISME ....,59890.0,85744.0
CM1,1532.0,1.0,1210001.0,1.0,COMPLEM. FUNC.- VIES PUBLIQUES.,5858.0,7149.0
CM1,1711.0,1.0,1210001.0,1.0,COMPLEM. FUNC.- SERVEIS COMUNS MICROCIUTA,6787.0,8411.0
CM6,1721.0,1.0,1210001.0,1.0,RETRIBUCIONS COMPLEMENTARIES.- MEDI AMBIENT,10796.0,9275.0
SP1,2310.0,2.0,1210001.0,1.0,COMPLEM. FUNC.- ATENCIÓ PRIMÀRIA,12660.0,16409.0
SG8,2410.0,2.0,1210001.0,1.0,COMPLEM. FUNC.- FORMACIÓ,9387.0,11598.0
SP3,3322.0,3.0,1210001.0,1.0,COMPLEM. FUNC.- ARXIU I PATR..,16411.0,17983.0
SP3,3370.0,3.0,1210001.0,1.0,COMPLEMEN. FUNC.- JOVENTUT,0.0,30175.0
SG8,4330.0,4.0,1210001.0,1.0,COMPLEM. FUNC.-ACTIVITATS,16135.0,15424.0
